Quaestiones longae super VIII libros Physicorum secundum ultimam lecturam 	26
Summulae 	17
Passio sancti Adalberti martiris Christi 	43
Commentum in Alcabitii Introductorium 	32
Rosarium 	30
Ars notaria 	28
Pupilla oculi 	42
Meditationes vitae Christi  	200
Tabula utriusque juris 	15
Conclusiones super quattuor libros Sententiarum 	105
Confessionale 	155
Libellus quaestionum casualium occurrentium in Summa et apparatu fratris Raymundi de Pennaforte 	30
Summa confessorum 	167
Clavis compendii 	3
Compendium grammaticae 	8
De mysteriis ecclesiae 	41
Dictionarius  	29
Distigium (Cornutus antiquus) 	80
Architrenius 	27
De bello, de repraesaliis et de duello 	54
Algorismus vulgaris 	110
Compotus 	36
De sphaera mundi 	104
Liber de exemplis et similitudinibus rerum 	83
Consolatio theologiae 	102
Expositio regulae sancti Benedicti 	45
Flores sententiarum beati Thomae de auctoritate summi pontificis 	30
Tractatus de aqua benedicta 	44
Vita sancti Gregorii Magni  	148
Annales seu Chronicae incliti Regni Poloniae 	65
Ordinatio (Opus Oxoniense) 	129
Quodlibet 	47
Sermones de tempore 	31
De arte audiendi confessiones 	51
De auferibilitate sponsi ab Ecclesia 	25
De cognitione castitatis 	30
De concordia metaphysicae cum logica 	2
De consolatione theologiae 	43
De contractibus 	49
De directione cordis 	31
De duplici statu curatorum et privilegiatorum 	27
De laude scriptorum 	24
De meditatione cordis 	39
De modo confessionis et absolutionis sacramentalis 	30
De modo excommunicationum et irregularitatum 	28
De necessaria communione laicorum sub utraque specie 	38
De non esu carnium 	25
De parvulis ad Christum trahendis 	28
De pollutione nocturna et praeparatione ad missam 	95
De potestate ecclesiastica 	37
De probatione spirituum 	52
De remediis contra recidivum peccati 	38
De remediis contra temptationes 	38
De simplificatione cordis 	32
De sollicitudine ecclesiasticorum 	44
De theologia mystica 	132
De visitatione praelatorum 	21
De vita spirituali animae 	51
Dialogus apologeticus pro coelibatu ecclesiasticorum 	28
Dialogus de perfectione cordis 	36
Opus tripartitum 	176
Quae veritates sint de necessitate salutis credendae 	30
Quaestiones quattuor circa poenitentiam et de detractione 	38
Regules morales 	45
Tractatus de simonia 	25
De spiritu Guidonis 	90
Scala coeli de diversis generibus exemplorum 	40
Breviloquium de virtutibus antiquorum principum et philosophorum  	160
Communiloquium 	144
Compendiloquium de vitis illustrium philosophorum et de dictis eorundem 	27
Legiloquium 	26
Ordinarium vitae religiosae 	44
Postilla in Apocalipsim 	37
Tractatus de arte praedicandi 	30
Tractatus de paenitentia 	22
De eruditione Christi fidelium 	36
Promptuarium Discipuli de festis sanctorum intimandis diebus dominicis 	31
Promptuarium Discipuli de miraculis beatae Mariae virginis 	35
Promptuarium exemplorum Discipuli secundum ordinem alphabeti  	36
Sermones Discipuli de tempore. Sermones communes omni tempore praedicabiles. Sermones communes de sanctis (a. 1418). Additiones (a. 1430) 	178
Sermones de sanctis 	70
Historia trium regum 	64
Epistola in rebus eclipsis 	60
Liber receptionis 	35
De ordine vitae et morum institutione 	38
De modis significandi 	23
